"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"Weathered - Jack Garratt #beats1",FALSE,0,NA,2015-07-06 12:15:46,FALSE,NA,"618030576642203648",NA,"<a href=""http://callumj.com"" rel=""nofollow"">Personal-Beats1</a>","Beats1Plays",0,FALSE,FALSE,NA,NA
"Don't - Bryson Tiller https://t.co/5aIpY2Oagv #beats1",FALSE,0,NA,2015-07-06 12:12:46,FALSE,NA,"618029820669202432",NA,"<a href=""http://callumj.com"" rel=""nofollow"">Personal-Beats1</a>","Beats1Plays",0,FALSE,FALSE,NA,NA
"Stole the Show (feat. Parson James) - Kygo https://t.co/MUt6GWFiLE #beats1",FALSE,0,NA,2015-07-06 12:09:01,FALSE,NA,"618028878230093824",NA,"<a href=""http://callumj.com"" rel=""nofollow"">Personal-Beats1</a>","Beats1Plays",0,FALSE,FALSE,NA,NA
"Chocolate - The 1975 https://t.co/AKPIC15iOA #beats1",FALSE,1,NA,2015-07-06 12:04:32,FALSE,NA,"618027750310457344",NA,"<a href=""http://callumj.com"" rel=""nofollow"">Personal-Beats1</a>","Beats1Plays",0,FALSE,FALSE,NA,NA
"We Run The Block - Bonkaz https://t.co/SWxqsMit0g #beats1",FALSE,0,NA,2015-07-06 12:01:32,FALSE,NA,"618026994291343360",NA,"<a href=""http://callumj.com"" rel=""nofollow"">Personal-Beats1</a>","Beats1Plays",0,FALSE,FALSE,NA,NA
"Ship To Wreck - Florence + The Machine https://t.co/E3eqB2NVJg #beats1",FALSE,0,NA,2015-07-06 11:57:47,FALSE,NA,"618026049822150656",NA,"<a href=""http://callumj.com"" rel=""nofollow"">Personal-Beats1</a>","Beats1Plays",0,FALSE,FALSE,NA,NA
"Holding On (feat. Sam Dew) - Julio Bashmore https://t.co/xckvanF7PP #beats1",FALSE,0,NA,2015-07-06 11:54:02,FALSE,NA,"618025105751449600",NA,"<a href=""http://callumj.com"" rel=""nofollow"">Personal-Beats1</a>","Beats1Plays",0,FALSE,FALSE,NA,NA
"Energy - Drake https://t.co/tZanwcOkOr #beats1",FALSE,0,NA,2015-07-06 11:50:17,FALSE,NA,"618024161743609856",NA,"<a href=""http://callumj.com"" rel=""nofollow"">Personal-Beats1</a>","Beats1Plays",1,FALSE,FALSE,NA,NA
"Fight Song - Rachel Platten https://t.co/bizKMEn9Et #beats1",FALSE,1,NA,2015-07-06 11:46:31,FALSE,NA,"618023213356961792",NA,"<a href=""http://callumj.com"" rel=""nofollow"">Personal-Beats1</a>","Beats1Plays",0,FALSE,FALSE,NA,NA
"Moaning Lisa Smile - Wolf Alice https://t.co/3TJhP5Ci9t #beats1",FALSE,1,NA,2015-07-06 11:43:31,FALSE,NA,"618022458243842048",NA,"<a href=""http://callumj.com"" rel=""nofollow"">Personal-Beats1</a>","Beats1Plays",0,FALSE,FALSE,NA,NA
"Trap Queen - Fetty Wap https://t.co/OWRc7c13Gg #beats1",FALSE,0,NA,2015-07-06 11:39:45,FALSE,NA,"618021514118590464",NA,"<a href=""http://callumj.com"" rel=""nofollow"">Personal-Beats1</a>","Beats1Plays",0,FALSE,FALSE,NA,NA
"Stay - Lisa Loeb &amp; Nine Stories https://t.co/TVWlCYos6V #beats1",FALSE,2,NA,2015-07-06 11:35:16,FALSE,NA,"618020386047979520",NA,"<a href=""http://callumj.com"" rel=""nofollow"">Personal-Beats1</a>","Beats1Plays",0,FALSE,FALSE,NA,NA
"On the Regular (Radio Version) - Shamir https://t.co/yOsMYzcLDg #beats1",FALSE,0,NA,2015-07-06 11:32:16,FALSE,NA,"618019628632141824",NA,"<a href=""http://callumj.com"" rel=""nofollow"">Personal-Beats1</a>","Beats1Plays",0,FALSE,FALSE,NA,NA
