"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"Oh My - Boogie https://t.co/FfjJsHfLxk #beats1 http://t.co/zKFNQnn5hu",FALSE,0,NA,2015-07-28 18:01:14,FALSE,NA,"626090049285816320",NA,"<a href=""http://callumj.com"" rel=""nofollow"">Personal-Beats1</a>","Beats1Plays",0,FALSE,FALSE,NA,NA
"Sharpness - Jamie Woon #beats1",FALSE,3,NA,2015-07-28 17:57:43,FALSE,NA,"626089163545292801",NA,"<a href=""http://callumj.com"" rel=""nofollow"">Personal-Beats1</a>","Beats1Plays",0,FALSE,FALSE,NA,NA
"Time Machine - Darwin Deez https://t.co/ay3lrezKFc #beats1 http://t.co/TOEDJxdj74",FALSE,0,NA,2015-07-28 17:55:14,FALSE,NA,"626088539453812736",NA,"<a href=""http://callumj.com"" rel=""nofollow"">Personal-Beats1</a>","Beats1Plays",0,FALSE,FALSE,NA,NA
"Come Down - Wavves &amp; Cloud Nothings https://t.co/CVcgQ7AdOx #beats1 http://t.co/uqumm0gwKe",FALSE,0,NA,2015-07-28 17:52:14,FALSE,NA,"626087785057882112",NA,"<a href=""http://callumj.com"" rel=""nofollow"">Personal-Beats1</a>","Beats1Plays",0,FALSE,FALSE,NA,NA
"Peace Crimes - Fever the Ghost https://t.co/RBvinPief6 #beats1 http://t.co/ZEoMGaQd3A",FALSE,0,NA,2015-07-28 17:49:30,FALSE,NA,"626087096260927488",NA,"<a href=""http://callumj.com"" rel=""nofollow"">Personal-Beats1</a>","Beats1Plays",0,FALSE,FALSE,NA,NA
"Hotline Bling - Drake #beats1",FALSE,0,NA,2015-07-28 17:45:44,FALSE,NA,"626086149874958337",NA,"<a href=""http://callumj.com"" rel=""nofollow"">Personal-Beats1</a>","Beats1Plays",0,FALSE,FALSE,NA,NA
"We Winnin - Dej Loaf https://t.co/xuVfflqWaF #beats1 http://t.co/vHoZQ6gax4",FALSE,0,NA,2015-07-28 17:42:14,FALSE,NA,"626085268429381632",NA,"<a href=""http://callumj.com"" rel=""nofollow"">Personal-Beats1</a>","Beats1Plays",0,FALSE,FALSE,NA,NA
"Show Some Love (feat. Little Grace) - TC https://t.co/2ELLZaKWCr #beats1 http://t.co/liW8IT12BI",FALSE,1,NA,2015-07-28 17:38:48,FALSE,NA,"626084402779586560",NA,"<a href=""http://callumj.com"" rel=""nofollow"">Personal-Beats1</a>","Beats1Plays",0,FALSE,FALSE,NA,NA
"Oceans - Coasts https://t.co/uHAGRN4cV3 #beats1 http://t.co/6uiRsksI4h",FALSE,3,NA,2015-07-28 17:34:29,FALSE,NA,"626083317994156032",NA,"<a href=""http://callumj.com"" rel=""nofollow"">Personal-Beats1</a>","Beats1Plays",0,FALSE,FALSE,NA,NA
"Antidote - Travi$ Scott https://t.co/zWaVuqqwlj #beats1 http://t.co/c2yJSj8IOa",FALSE,2,NA,2015-07-28 17:30:14,FALSE,NA,"626082246458482688",NA,"<a href=""http://callumj.com"" rel=""nofollow"">Personal-Beats1</a>","Beats1Plays",1,FALSE,FALSE,NA,NA
"Tilted - Christine and the Queens https://t.co/QnI13o2fxz #beats1 http://t.co/vzpGAUIlR8",FALSE,0,NA,2015-07-28 17:25:58,FALSE,NA,"626081174398574593",NA,"<a href=""http://callumj.com"" rel=""nofollow"">Personal-Beats1</a>","Beats1Plays",0,FALSE,FALSE,NA,NA
"The Next Episode - Dr. Dre https://t.co/sPyKubNlr7 #beats1 http://t.co/rkcb7n2cWd",FALSE,0,NA,2015-07-28 17:24:13,FALSE,NA,"626080734831378432",NA,"<a href=""http://callumj.com"" rel=""nofollow"">Personal-Beats1</a>","Beats1Plays",0,FALSE,FALSE,NA,NA
"Omen - Disclosure https://t.co/2nxWqj3eay #beats1 http://t.co/JwMB53faH9",FALSE,1,NA,2015-07-28 17:19:44,FALSE,NA,"626079603283599360",NA,"<a href=""http://callumj.com"" rel=""nofollow"">Personal-Beats1</a>","Beats1Plays",0,FALSE,FALSE,NA,NA
"Now - Joywave https://t.co/66wxsV3jT7 #beats1 http://t.co/0ekfr8H6Ss",FALSE,3,NA,2015-07-28 17:14:59,FALSE,NA,"626078408104148992",NA,"<a href=""http://callumj.com"" rel=""nofollow"">Personal-Beats1</a>","Beats1Plays",1,FALSE,FALSE,NA,NA
"Fourth of July - Sufjan Stevens https://t.co/RKNNvNkEm0 #beats1 http://t.co/Sgu5y5dnQw",FALSE,0,NA,2015-07-28 17:10:29,FALSE,NA,"626077275457515521",NA,"<a href=""http://callumj.com"" rel=""nofollow"">Personal-Beats1</a>","Beats1Plays",0,FALSE,FALSE,NA,NA
"Set Me Free - Robyn &amp; La Bagatelle Magique https://t.co/weI5ri3khm #beats1 http://t.co/7CjbxSPSXa",FALSE,1,NA,2015-07-28 17:06:28,FALSE,NA,"626076265141956608",NA,"<a href=""http://callumj.com"" rel=""nofollow"">Personal-Beats1</a>","Beats1Plays",0,FALSE,FALSE,NA,NA
"F**k the Summer Up (feat. Biker Boy Pug) - Leikeli47 https://t.co/pc5QffGoB0 #beats1 http://t.co/Ua5Rev581b",FALSE,1,NA,2015-07-28 17:02:57,FALSE,NA,"626075381288800261",NA,"<a href=""http://callumj.com"" rel=""nofollow"">Personal-Beats1</a>","Beats1Plays",0,FALSE,FALSE,NA,NA
"Glass Built Castles - Black Peaks https://t.co/h5bsglKM5e #beats1 http://t.co/IJoRjoLNII",FALSE,0,NA,2015-07-28 16:59:12,FALSE,NA,"626074437914349568",NA,"<a href=""http://callumj.com"" rel=""nofollow"">Personal-Beats1</a>","Beats1Plays",0,FALSE,FALSE,NA,NA
"West Coast - FIDLAR https://t.co/arLUaVC1sr #beats1 http://t.co/HyesGStOpB",FALSE,0,NA,2015-07-28 16:55:58,FALSE,NA,"626073622352953344",NA,"<a href=""http://callumj.com"" rel=""nofollow"">Personal-Beats1</a>","Beats1Plays",0,FALSE,FALSE,NA,NA
"Pray For Rain - Pure Bathing Culture https://t.co/aJ4Cbc8m2R #beats1 http://t.co/me5dAgGhJr",FALSE,0,NA,2015-07-28 16:52:42,FALSE,NA,"626072803448631296",NA,"<a href=""http://callumj.com"" rel=""nofollow"">Personal-Beats1</a>","Beats1Plays",0,FALSE,FALSE,NA,NA
"1998 feat. Banks - Chet Faker #beats1",FALSE,2,NA,2015-07-28 16:48:26,FALSE,NA,"626071727840317441",NA,"<a href=""http://callumj.com"" rel=""nofollow"">Personal-Beats1</a>","Beats1Plays",3,FALSE,FALSE,NA,NA
