"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"Drone - FIDLAR https://t.co/ge2UaXuopG #beats1 http://t.co/lP8tAfyLmX",FALSE,0,NA,2015-08-14 01:33:59,FALSE,NA,"632002191558057984",NA,"<a href=""http://callumj.com"" rel=""nofollow"">Personal-Beats1</a>","Beats1Plays",0,FALSE,FALSE,NA,NA
"Leave a Trace - CHVRCHES https://t.co/ymmVxoNgfI #beats1 http://t.co/AjpCqvml8I",FALSE,2,NA,2015-08-14 01:29:13,FALSE,NA,"632000994906370049",NA,"<a href=""http://callumj.com"" rel=""nofollow"">Personal-Beats1</a>","Beats1Plays",0,FALSE,FALSE,NA,NA
"Tear In My Heart - twenty one pilots https://t.co/6w5Z6u4y29 #beats1 http://t.co/oswtMEIgdC",FALSE,0,NA,2015-08-14 01:25:44,FALSE,NA,"632000114945617921",NA,"<a href=""http://callumj.com"" rel=""nofollow"">Personal-Beats1</a>","Beats1Plays",0,FALSE,FALSE,NA,NA
"3500 (feat. Future &amp; 2 Chainz) - Travi$ Scott https://t.co/fb1CgyRerj #beats1 http://t.co/X614kzRFHO",FALSE,0,NA,2015-08-14 01:17:28,FALSE,NA,"631998036198170624",NA,"<a href=""http://callumj.com"" rel=""nofollow"">Personal-Beats1</a>","Beats1Plays",0,FALSE,FALSE,NA,NA
"Crazy In Love - Beyoncé https://t.co/Sjf5aNfFxh #beats1 http://t.co/0Gv1CrB94C",FALSE,0,NA,2015-08-14 01:12:59,FALSE,NA,"631996907859116037",NA,"<a href=""http://callumj.com"" rel=""nofollow"">Personal-Beats1</a>","Beats1Plays",0,FALSE,FALSE,NA,NA
"Holding On (feat. Sam Dew) - Julio Bashmore https://t.co/sD7s8UMRWw #beats1 http://t.co/5ImHfCtTWK",FALSE,0,NA,2015-08-14 01:07:57,FALSE,NA,"631995641363853312",NA,"<a href=""http://callumj.com"" rel=""nofollow"">Personal-Beats1</a>","Beats1Plays",1,FALSE,FALSE,NA,NA
"Boys In the Street - Greg Holden https://t.co/OSiYYIJ6ad #beats1 http://t.co/dxNV8cAWqH",FALSE,0,NA,2015-08-14 01:03:28,FALSE,NA,"631994513528111104",NA,"<a href=""http://callumj.com"" rel=""nofollow"">Personal-Beats1</a>","Beats1Plays",0,FALSE,FALSE,NA,NA
"Trap Queen - Fetty Wap https://t.co/95GskjbIph #beats1 http://t.co/eFVIS1kQ18",FALSE,0,NA,2015-08-14 00:58:57,FALSE,NA,"631993377769320448",NA,"<a href=""http://callumj.com"" rel=""nofollow"">Personal-Beats1</a>","Beats1Plays",0,FALSE,FALSE,NA,NA
"Run - Alison Wonderland https://t.co/3xQvZd2Hjm #beats1 http://t.co/O3XufTNwUz",FALSE,0,NA,2015-08-14 00:54:58,FALSE,NA,"631992373640343552",NA,"<a href=""http://callumj.com"" rel=""nofollow"">Personal-Beats1</a>","Beats1Plays",0,FALSE,FALSE,NA,NA
"Hotline Bling - Drake https://t.co/KsAsDCFrvY #beats1 http://t.co/D6aGWdxLJt",FALSE,4,NA,2015-08-14 00:50:12,FALSE,NA,"631991174417547264",NA,"<a href=""http://callumj.com"" rel=""nofollow"">Personal-Beats1</a>","Beats1Plays",0,FALSE,FALSE,NA,NA
"Good For You (feat. A$AP Rocky) - Selena Gomez #beats1",FALSE,0,NA,2015-08-14 00:45:55,FALSE,NA,"631990098633035776",NA,"<a href=""http://callumj.com"" rel=""nofollow"">Personal-Beats1</a>","Beats1Plays",0,FALSE,FALSE,NA,NA
"Lean On (feat. MØ &amp; DJ Snake) - Major Lazer https://t.co/xf7y80CpfQ #beats1 http://t.co/GuSfOl3JLY",FALSE,0,NA,2015-08-14 00:42:57,FALSE,NA,"631989348477595648",NA,"<a href=""http://callumj.com"" rel=""nofollow"">Personal-Beats1</a>","Beats1Plays",0,FALSE,FALSE,NA,NA
"Way Too Much - Wavves https://t.co/B5CZoFd8ym #beats1 http://t.co/NT0eNVBkes",FALSE,0,NA,2015-08-14 00:39:42,FALSE,NA,"631988531385212928",NA,"<a href=""http://callumj.com"" rel=""nofollow"">Personal-Beats1</a>","Beats1Plays",0,FALSE,FALSE,NA,NA
"She's Kinda Hot - 5 Seconds of Summer https://t.co/AYpeaKgKsA #beats1 http://t.co/GiUQ41bVZQ",FALSE,0,NA,2015-08-14 00:35:42,FALSE,NA,"631987526971092992",NA,"<a href=""http://callumj.com"" rel=""nofollow"">Personal-Beats1</a>","Beats1Plays",0,FALSE,FALSE,NA,NA
"You're A Germ - Wolf Alice https://t.co/Lp0CWu3Z5j #beats1 http://t.co/Hsn4wH8qPd",FALSE,1,NA,2015-08-14 00:26:41,FALSE,NA,"631985255302451200",NA,"<a href=""http://callumj.com"" rel=""nofollow"">Personal-Beats1</a>","Beats1Plays",0,FALSE,FALSE,NA,NA
"Like Ah Boss - Machel Montano https://t.co/i4ekJ6vqZW #beats1 http://t.co/ffjsZyEyUf",FALSE,1,NA,2015-08-14 00:23:43,FALSE,NA,"631984508619857920",NA,"<a href=""http://callumj.com"" rel=""nofollow"">Personal-Beats1</a>","Beats1Plays",1,FALSE,FALSE,NA,NA
"High By The Beach - Lana Del Rey https://t.co/RZTjt9DH0q #beats1 http://t.co/Yxp9baV7GT",FALSE,0,NA,2015-08-14 00:19:10,FALSE,NA,"631983365311361025",NA,"<a href=""http://callumj.com"" rel=""nofollow"">Personal-Beats1</a>","Beats1Plays",0,FALSE,FALSE,NA,NA
"Julia - Jungle https://t.co/Cj9lt0ZsUb #beats1 http://t.co/OWNegPEAuG",FALSE,0,NA,2015-08-14 00:15:56,FALSE,NA,"631982552669097984",NA,"<a href=""http://callumj.com"" rel=""nofollow"">Personal-Beats1</a>","Beats1Plays",0,FALSE,FALSE,NA,NA
"Poppin - Rico Richie https://t.co/E46dT6CWfn #beats1 http://t.co/vagYwBuYTj",FALSE,0,NA,2015-08-14 00:12:56,FALSE,NA,"631981797425979392",NA,"<a href=""http://callumj.com"" rel=""nofollow"">Personal-Beats1</a>","Beats1Plays",0,FALSE,FALSE,NA,NA
"Jump Out the Face (feat. Future) - Meek Mill https://t.co/iIfPfnPMg9 #beats1 http://t.co/vjMPuAb8QQ",FALSE,1,NA,2015-08-14 00:09:25,FALSE,NA,"631980910842376193",NA,"<a href=""http://callumj.com"" rel=""nofollow"">Personal-Beats1</a>","Beats1Plays",0,FALSE,FALSE,NA,NA
"King - Years &amp; Years https://t.co/saMxj75Oeh #beats1 http://t.co/IdYZxYCgRt",FALSE,0,NA,2015-08-14 00:05:12,FALSE,NA,"631979850811731968",NA,"<a href=""http://callumj.com"" rel=""nofollow"">Personal-Beats1</a>","Beats1Plays",0,FALSE,FALSE,NA,NA
"The Hills - The Weeknd https://t.co/73F7aWHXSw #beats1 http://t.co/Z1qzkjrLHJ",FALSE,0,NA,2015-08-14 00:01:11,FALSE,NA,"631978837920890880",NA,"<a href=""http://callumj.com"" rel=""nofollow"">Personal-Beats1</a>","Beats1Plays",0,FALSE,FALSE,NA,NA
"Ghost feat. Vince Staples - With You https://t.co/9g7E6he4dH #beats1 http://t.co/jUilG0E4Fp",FALSE,1,NA,2015-08-13 23:56:55,FALSE,NA,"631977766183956480",NA,"<a href=""http://callumj.com"" rel=""nofollow"">Personal-Beats1</a>","Beats1Plays",0,FALSE,FALSE,NA,NA
"Lonely Town, Lonely Street - Bill Withers https://t.co/Se4JASzVVc #beats1 http://t.co/0beACct6bP",FALSE,0,NA,2015-08-13 23:53:26,FALSE,NA,"631976887586287616",NA,"<a href=""http://callumj.com"" rel=""nofollow"">Personal-Beats1</a>","Beats1Plays",1,FALSE,FALSE,NA,NA
"My Girls - Animal Collective https://t.co/9aPPqPMpNz #beats1 http://t.co/2BfqlT1ABU",FALSE,3,NA,2015-08-13 23:47:59,FALSE,NA,"631975517265219584",NA,"<a href=""http://callumj.com"" rel=""nofollow"">Personal-Beats1</a>","Beats1Plays",0,FALSE,FALSE,NA,NA
