"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"Outchea  - Wiley  #beats1",FALSE,0,NA,2015-07-21 19:06:16,FALSE,NA,"623569699503214593",NA,"<a href=""http://callumj.com"" rel=""nofollow"">Personal-Beats1</a>","Beats1Plays",0,FALSE,FALSE,NA,NA
"Isla (Radio Edit) - Felon https://t.co/LvYPCqF8Ws #beats1 http://t.co/ln57YyAQnD",FALSE,0,NA,2015-07-21 19:03:33,FALSE,NA,"623569015986868224",NA,"<a href=""http://callumj.com"" rel=""nofollow"">Personal-Beats1</a>","Beats1Plays",0,FALSE,FALSE,NA,NA
"Isla feat. Kaleem Taylor  - Felon  https://t.co/ciT6SEhx90 #beats1 http://t.co/EDFuHE53wK",FALSE,0,NA,2015-07-21 19:02:33,FALSE,NA,"623568765704359936",NA,"<a href=""http://callumj.com"" rel=""nofollow"">Personal-Beats1</a>","Beats1Plays",0,FALSE,FALSE,NA,NA
"Say Nada - Shakka #beats1",FALSE,1,NA,2015-07-21 18:59:01,FALSE,NA,"623567873622020096",NA,"<a href=""http://callumj.com"" rel=""nofollow"">Personal-Beats1</a>","Beats1Plays",0,FALSE,FALSE,NA,NA
"City - Spring King https://t.co/053V20lVQA #beats1 http://t.co/gG1gN20jqX",FALSE,2,NA,2015-07-21 18:55:31,FALSE,NA,"623566996123320324",NA,"<a href=""http://callumj.com"" rel=""nofollow"">Personal-Beats1</a>","Beats1Plays",0,FALSE,FALSE,NA,NA
"Look Right Through (MK Vocal Edit) - Storm Queen https://t.co/WjshFb8yrS #beats1 http://t.co/48rKNz2Hvb",FALSE,6,NA,2015-07-21 18:53:18,FALSE,NA,"623566437022437376",NA,"<a href=""http://callumj.com"" rel=""nofollow"">Personal-Beats1</a>","Beats1Plays",3,FALSE,FALSE,NA,NA
"Good For You (feat. A$AP Rocky) - Selena Gomez #beats1",FALSE,0,NA,2015-07-21 18:50:00,FALSE,NA,"623565607611580416",NA,"<a href=""http://callumj.com"" rel=""nofollow"">Personal-Beats1</a>","Beats1Plays",0,FALSE,FALSE,NA,NA
"My Love (feat. Drake) - Majid Jordan https://t.co/3lPuVkrME5 #beats1 http://t.co/dyq9zFCC6U",FALSE,0,NA,2015-07-21 18:45:46,FALSE,NA,"623564541436293120",NA,"<a href=""http://callumj.com"" rel=""nofollow"">Personal-Beats1</a>","Beats1Plays",0,FALSE,FALSE,NA,NA
"Gosh - Jamie xx https://t.co/qUKd0A9Zmk #beats1 http://t.co/5Iu392dtRz",FALSE,1,NA,2015-07-21 18:41:01,FALSE,NA,"623563346965610496",NA,"<a href=""http://callumj.com"" rel=""nofollow"">Personal-Beats1</a>","Beats1Plays",0,FALSE,FALSE,NA,NA
"Wrecking Ball - Miley Cyrus https://t.co/7t2tpvMy7E #beats1 http://t.co/KJANBIIC7M",FALSE,1,NA,2015-07-21 18:37:17,FALSE,NA,"623562405436608512",NA,"<a href=""http://callumj.com"" rel=""nofollow"">Personal-Beats1</a>","Beats1Plays",1,FALSE,FALSE,NA,NA
"Weathered - Jack Garratt https://t.co/pt4xVZMQzX #beats1 http://t.co/AUIib8MwLT",FALSE,1,NA,2015-07-21 18:31:17,FALSE,NA,"623560895533305856",NA,"<a href=""http://callumj.com"" rel=""nofollow"">Personal-Beats1</a>","Beats1Plays",0,FALSE,FALSE,NA,NA
"Firestone (feat. Conrad Sewell) - Kygo https://t.co/aLZFrh3rmW #beats1 http://t.co/1c9QlN9c74",FALSE,0,NA,2015-07-21 18:26:46,FALSE,NA,"623559760290447360",NA,"<a href=""http://callumj.com"" rel=""nofollow"">Personal-Beats1</a>","Beats1Plays",0,FALSE,FALSE,NA,NA
