"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"New Americana - Halsey https://t.co/2f9nmWK5S5 #beats1",FALSE,0,NA,2015-07-15 12:46:22,FALSE,NA,"621299769567256576",NA,"<a href=""http://callumj.com"" rel=""nofollow"">Personal-Beats1</a>","Beats1Plays",0,FALSE,FALSE,NA,NA
"Only (feat. Drake, Lil Wayne &amp; Chris Brown) - Nicki Minaj https://t.co/OcDR4akfZk #beats1",FALSE,0,NA,2015-07-15 12:41:24,FALSE,NA,"621298519035486208",NA,"<a href=""http://callumj.com"" rel=""nofollow"">Personal-Beats1</a>","Beats1Plays",0,FALSE,FALSE,NA,NA
"Swarm - The Bohicas https://t.co/9qUVwexxkC #beats1",FALSE,0,NA,2015-07-15 12:38:39,FALSE,NA,"621297826497208324",NA,"<a href=""http://callumj.com"" rel=""nofollow"">Personal-Beats1</a>","Beats1Plays",0,FALSE,FALSE,NA,NA
"Pray to God (feat. HAIM) - Calvin Harris https://t.co/XXOmyzjyuP #beats1",FALSE,0,NA,2015-07-15 12:34:53,FALSE,NA,"621296876776783872",NA,"<a href=""http://callumj.com"" rel=""nofollow"">Personal-Beats1</a>","Beats1Plays",0,FALSE,FALSE,NA,NA
"The Wolf - Mumford &amp; Sons https://t.co/FNISkxpub9 #beats1",FALSE,0,NA,2015-07-15 12:30:22,FALSE,NA,"621295741277995008",NA,"<a href=""http://callumj.com"" rel=""nofollow"">Personal-Beats1</a>","Beats1Plays",0,FALSE,FALSE,NA,NA
"We Run The Block - Bonkaz https://t.co/SWxqsMit0g #beats1",FALSE,0,NA,2015-07-15 12:27:07,FALSE,NA,"621294922944114688",NA,"<a href=""http://callumj.com"" rel=""nofollow"">Personal-Beats1</a>","Beats1Plays",0,FALSE,FALSE,NA,NA
"Eyes Shut - Years &amp; Years https://t.co/SHUFqC5bpu #beats1",FALSE,1,NA,2015-07-15 12:23:37,FALSE,NA,"621294041993474048",NA,"<a href=""http://callumj.com"" rel=""nofollow"">Personal-Beats1</a>","Beats1Plays",1,FALSE,FALSE,NA,NA
"Oh My - Boogie https://t.co/O0dDT60kq4 #beats1",FALSE,0,NA,2015-07-15 12:19:37,FALSE,NA,"621293036954370048",NA,"<a href=""http://callumj.com"" rel=""nofollow"">Personal-Beats1</a>","Beats1Plays",0,FALSE,FALSE,NA,NA
"The Love You're Given - Jack Garratt https://t.co/X0fJa1qJDM #beats1",FALSE,1,NA,2015-07-15 12:14:37,FALSE,NA,"621291776863772672",NA,"<a href=""http://callumj.com"" rel=""nofollow"">Personal-Beats1</a>","Beats1Plays",0,FALSE,FALSE,NA,NA
"Powerful (feat. Ellie Goulding &amp; Tarrus Riley) - Major Lazer https://t.co/qOE3XOAbGU #beats1",FALSE,0,NA,2015-07-15 12:11:06,FALSE,NA,"621290894512259072",NA,"<a href=""http://callumj.com"" rel=""nofollow"">Personal-Beats1</a>","Beats1Plays",0,FALSE,FALSE,NA,NA
