"created","song","artist","url","text"
2015-07-02 02:13:46,"You Sexy Thing","Hot Chocolate",NA,"You Sexy Thing - Hot Chocolate"
2015-07-02 02:10:46,"Time Bomb","Old 97's",NA,"Time Bomb - Old 97's"
2015-07-02 02:06:46,"Time Bomb","G.B.H.",NA,"Time Bomb - G.B.H."
2015-07-02 02:02:46,"It's a Cold Night For Alligators","Roky Erickson",NA,"It's a Cold Night For Alligators - Roky Erickson"
2015-07-02 01:59:46,"Wild For the Night (feat. Skrillex &amp; Birdy Nam Nam)","A$AP Rocky",NA,"Wild For the Night (feat. Skrillex &amp; Birdy Nam Nam) - A$AP Rocky"
2015-07-02 01:57:46,"What's My Age Again?","Blink",NA,"What's My Age Again? - Blink-182"
2015-07-02 01:52:46,"Shake It Off","Taylor Swift",NA,"Shake It Off - Taylor Swift"
2015-07-02 01:49:47,"Credits Roll","Joel Plaskett",NA,"Credits Roll - Joel Plaskett"
2015-07-02 01:45:46,"Don't Wanna Fight","Alabama Shakes",NA,"Don't Wanna Fight - Alabama Shakes"
2015-07-02 01:42:46,"Wonder Woman","LION BABE",NA,"Wonder Woman - LION BABE"
2015-07-02 01:39:46,"When I Come Around","Green Day",NA,"When I Come Around - Green Day"
2015-07-02 01:35:46,"Trap Queen","Fetty Wap",NA,"Trap Queen - Fetty Wap"
2015-07-02 01:32:45,"Freedom","Pharrell Williams",NA,"Freedom - Pharrell Williams"
2015-07-02 01:28:45,"No Sleeep","Janet Jackson",NA,"No Sleeep - Janet Jackson"
2015-07-02 01:21:45,"Black Magic","Little Mix",NA,"Black Magic - Little Mix"
2015-07-02 01:07:45,"House Every Weekend","David Zowie",NA,"House Every Weekend - David Zowie"
2015-07-02 01:04:45,"Little Monster","Royal Blood",NA,"Little Monster - Royal Blood"
2015-07-02 01:00:45,"1901","Phoenix",NA,"1901 - Phoenix"
2015-07-02 00:56:45,"King","Years &amp; Years",NA,"King - Years &amp; Years"
