"created","song","artist","songartist","url","count"
2015-07-04 08:36:56,"Holding On (Feat. Gregory Porter)","Disclosure","Holding On (Feat. Gregory Porter) - Disclosure","https://t.co/A59KFhjiMB",21
2015-07-04 08:29:25,"Freedom","Pharrell Williams","Freedom - Pharrell Williams","https://t.co/McCYQzuIcH",21
2015-07-04 08:00:10,"Powerful (Feat. Ellie Goulding &Amp; Tarrus Riley)","Major Lazer","Powerful (Feat. Ellie Goulding &Amp; Tarrus Riley) - Major Lazer","https://t.co/qOE3XOAbGU",18
2015-07-04 07:29:25,"Alright","Kendrick Lamar","Alright - Kendrick Lamar","https://t.co/8mQmxY8fws",23
2015-07-04 07:20:24,"Cha Cha","D.R.A.M.","Cha Cha - D.R.A.M.","https://t.co/y5x202RZhS",21
2015-07-04 07:15:53,"House Every Weekend","David Zowie","House Every Weekend - David Zowie",NA,19
2015-07-04 07:08:24,"Can't Feel My Face","The Weeknd","Can't Feel My Face - The Weeknd","https://t.co/q5jNrBLMdm",25
2015-07-04 07:03:55,"Dreams","Beck","Dreams - Beck","https://t.co/AyQGWKitnm",23
2015-07-04 05:49:36,"House Every Weekend","David Zowie","House Every Weekend - David Zowie",NA,19
2015-07-04 05:10:37,"Can't Feel My Face","The Weeknd","Can't Feel My Face - The Weeknd","https://t.co/q5jNrBLMdm",25
2015-07-04 05:04:35,"Holding On (Feat. Gregory Porter)","Disclosure","Holding On (Feat. Gregory Porter) - Disclosure","https://t.co/A59KFhjiMB",21
2015-07-04 04:51:04,"Holding On (Feat. Sam Dew)","Julio Bashmore","Holding On (Feat. Sam Dew) - Julio Bashmore","https://t.co/xckvanF7PP",20
2015-07-04 04:38:19,"Cha Cha","D.R.A.M.","Cha Cha - D.R.A.M.","https://t.co/y5x202RZhS",21
2015-07-04 00:49:29,"Don't Wanna Fight","Alabama Shakes","Don't Wanna Fight - Alabama Shakes","https://t.co/W1fdRGfVts",22
2015-07-04 00:38:13,"Let It Go","James Bay","Let It Go - James Bay","https://t.co/IvTH8ev32R",20
2015-07-04 00:15:43,"Beautiful Life (Feat Action Bronson &Amp; Joey Bada$$)","Statik Selektah","Beautiful Life (Feat Action Bronson &Amp; Joey Bada$$) - Statik Selektah","https://t.co/oG1DKJUaDu",17
2015-07-04 00:09:43,"Powerful (Feat. Ellie Goulding &Amp; Tarrus Riley)","Major Lazer","Powerful (Feat. Ellie Goulding &Amp; Tarrus Riley) - Major Lazer","https://t.co/qOE3XOAbGU",18
2015-07-04 00:05:58,"We Run The Block","Bonkaz","We Run The Block - Bonkaz","https://t.co/SWxqsMit0g",18
2015-07-04 00:02:12,"Can't Feel My Face","The Weeknd","Can't Feel My Face - The Weeknd","https://t.co/q5jNrBLMdm",25
